id,year,q01_happy,q02_satisfied_general,q03_satisfied_somerville,q04_satisfied_neighborhood,q06a_city_services,q06b_cost_housing,q06c_quality_schools,q06d_trust_police,q06e_sidewalks,q06f_events,q09_safe_at_night,q11_beauty,q10_parks,d01_gender,d02_age,d04_race,d05_num_children,d06_housing_status,d07_plan_to_move,d10_how_long_lived_here,d08_hhi,d09_is_student,d13_ward,q05_city_direction,q07_safe_crossing_street,q08_convenient,q12_housing_condition,move_why,d11_transportation_mode,d12_transportation_month,d03_language
7468,2019,4.0,3.0,7.0,8.0,3.0,1.0,4.0,2.0,1.0,3.0,6.0,7.0,9.0,Female,21,White,No,Rent,Yes,3 years,"$10,000 to $24,999",Yes,5.0,Wrong track,8.0,7.0,2.0,,"Walk, Bike, Public transit","Walk, Bike, Public transit, Car",English
7469,2019,3.0,10.0,3.0,6.0,5.0,5.0,3.0,5.0,3.0,4.0,10.0,10.0,10.0,Male,64,White,No,Own,No,39 years,"$75,000 to $99,999",No,6.0,Wrong track,10.0,1.0,10.0,,Car,Car,English
7470,2019,5.0,6.0,6.0,7.0,5.0,1.0,3.0,2.0,3.0,5.0,10.0,7.0,9.0,Female,61,White,No,Rent,Yes,11 years,"$25,000 to $49,999",No,5.0,Right direction,7.0,9.0,10.0,Cost of housing,"Bike, Car","Walk, Bike, Car",English
7471,2019,8.0,9.0,6.0,7.0,4.0,2.0,,3.0,2.0,4.0,8.0,5.0,7.0,Female,49,White,No,Own,No,13 years,"$200,000 or more",No,6.0,Not sure,6.0,8.0,7.0,,Walk,"Walk, Public transit, Car",English
7472,2019,8.0,10.0,8.0,8.0,4.0,1.0,4.0,3.0,5.0,5.0,9.0,10.0,10.0,Male,50,,Yes,Rent,Yes,2 years,"$100,000 to $149,999",,2.0,Right direction,10.0,10.0,8.0,Too expensive,"Walk, Public transit","Walk, Public transit",English
7473,2019,9.0,9.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,9.0,5.0,9.0,Female,52,White,No,Own,No,,"$150,000 to 200,000",No,7.0,Wrong track,9.0,1.0,8.0,,Car,"Public transit, Car",
7474,2019,8.0,8.0,8.0,8.0,4.0,2.0,4.0,4.0,2.0,5.0,8.0,7.0,7.0,Male,30,White,No,Own,No,12 years,"$150,000 to 200,000",No,2.0,Right direction,8.0,6.0,7.0,,Bike,"Walk, Bike, Public transit, Car",English
7475,2019,9.0,9.0,9.0,10.0,3.0,2.0,3.0,2.0,2.0,3.0,8.0,9.0,9.0,non999binary,31,White,No,Rent,No,1 month,"$100,000 to $149,999",No,3.0,Not sure,5.0,7.0,7.0,,Bike,"Walk, Bike, Public transit",English
7476,2019,6.0,6.0,6.0,6.0,4.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,Male,42,Asian,No,Rent,No,6 months,"$100,000 to $149,999",No,5.0,Not sure,6.0,8.0,5.0,,Public transit,Public transit,English
7477,2019,6.0,7.0,7.0,8.0,5.0,3.0,3.0,4.0,4.0,4.0,7.0,8.0,8.0,Male,42,White,Yes,Own,No,5 years,"$200,000 or more",No,7.0,Right direction,7.0,8.0,9.0,,Car,"Walk, Bike, Public transit, Car","French, English"
