,id,gender,age,hhi,ethnicity,race
352,7743,Female,35 to 44 Years,5,non-hispanic,aa
353,7744,Female,55 to 64 Years,3,non-hispanic,white
354,7745,Female,35 to 44 Years,4,non-hispanic,two_or_more
355,7746,Male,55 to 64 Years,5,hispanic,
356,7747,Male,45 to 54 Years,8,non-hispanic,white
357,7748,Female,35 to 44 Years,4,non-hispanic,white
358,7749,Male,65 to 74 Years,5,non-hispanic,white
359,7750,Male,55 to 64 Years,6,non-hispanic,white
360,7751,Female,25 to 34 Years,8,non-hispanic,white
361,7752,Male,65 to 74 Years,,non-hispanic,asian
362,7753,Female,45 to 54 Years,,non-hispanic,white
363,7754,Female,65 to 74 Years,7,non-hispanic,white
364,7755,,75 Years & Over,,,
365,7756,Female,65 to 74 Years,2,hispanic,
366,7757,Female,25 to 34 Years,6,non-hispanic,white
367,7758,Female,35 to 44 Years,6,non-hispanic,asian
368,7759,Female,55 to 64 Years,2,non-hispanic,white
369,7760,Female,25 to 34 Years,5,non-hispanic,asian
370,7761,Female,35 to 44 Years,6,non-hispanic,asian
371,7762,Female,55 to 64 Years,4,non-hispanic,white
372,7763,Male,55 to 64 Years,8,hispanic,
373,7764,Female,35 to 44 Years,7,non-hispanic,white
374,7765,Male,25 to 34 Years,5,non-hispanic,white
375,7766,Female,25 to 34 Years,4,non-hispanic,white
376,7767,Female,25 to 34 Years,6,non-hispanic,asian
377,7768,Female,25 to 34 Years,8,non-hispanic,white
378,7769,Male,25 to 34 Years,7,non-hispanic,white
379,7770,Female,25 to 34 Years,7,non-hispanic,other
380,7771,Female,35 to 44 Years,5,non-hispanic,white
381,7772,Male,25 to 34 Years,3,non-hispanic,white
382,7773,Male,35 to 44 Years,4,hispanic,
383,7774,Male,25 to 34 Years,6,non-hispanic,white
384,7775,Male,25 to 34 Years,8,non-hispanic,white
385,7776,Female,25 to 34 Years,4,non-hispanic,white
386,7777,Male,65 to 74 Years,,non-hispanic,white
387,7778,Male,65 to 74 Years,4,non-hispanic,aa
388,7779,Female,35 to 44 Years,3,non-hispanic,white
389,7780,Female,25 to 34 Years,6,non-hispanic,white
390,7781,Male,45 to 54 Years,4,non-hispanic,white
391,7782,Female,25 to 34 Years,7,non-hispanic,white
392,7783,Female,25 to 34 Years,7,non-hispanic,white
393,7784,Female,75 Years & Over,,non-hispanic,two_or_more
394,7785,Female,65 to 74 Years,,non-hispanic,two_or_more
395,7786,Male,35 to 44 Years,8,non-hispanic,white
396,7787,Male,65 to 74 Years,2,non-hispanic,white
397,7788,Male,35 to 44 Years,8,non-hispanic,white
398,7789,Male,25 to 34 Years,6,non-hispanic,white
399,7790,Female,25 to 34 Years,7,non-hispanic,white
400,7791,Male,25 to 34 Years,5,non-hispanic,white
401,7792,Male,25 to 34 Years,6,non-hispanic,white
402,7793,Female,55 to 64 Years,2,non-hispanic,two_or_more
403,7794,Female,35 to 44 Years,8,non-hispanic,white
404,7795,Male,25 to 34 Years,6,non-hispanic,white
405,7796,Male,55 to 64 Years,4,non-hispanic,white
406,7797,Female,65 to 74 Years,,non-hispanic,white
407,7798,Male,65 to 74 Years,3,non-hispanic,white
408,7799,Female,65 to 74 Years,6,non-hispanic,asian
409,7800,Female,25 to 34 Years,5,non-hispanic,white
410,7801,Female,65 to 74 Years,3,non-hispanic,white
411,7802,Female,35 to 44 Years,5,non-hispanic,white
412,7803,Female,25 to 34 Years,4,non-hispanic,white
413,7804,Male,25 to 34 Years,6,non-hispanic,white
414,7805,Female,35 to 44 Years,7,non-hispanic,asian
415,7806,Female,45 to 54 Years,6,non-hispanic,white
416,7807,Male,75 Years & Over,1,non-hispanic,white
417,7808,Female,25 to 34 Years,7,non-hispanic,white
418,7809,Female,65 to 74 Years,5,non-hispanic,white
419,7810,Male,25 to 34 Years,6,non-hispanic,white
420,7811,Female,25 to 34 Years,8,non-hispanic,white
421,7812,Female,25 to 34 Years,6,non-hispanic,white
422,7813,Male,25 to 34 Years,4,non-hispanic,white
423,7814,Female,35 to 44 Years,7,non-hispanic,white
424,7815,Male,25 to 34 Years,7,non-hispanic,white
425,7816,Male,75 Years & Over,3,non-hispanic,white
426,7817,Male,35 to 44 Years,8,non-hispanic,white
427,7818,Female,55 to 64 Years,8,non-hispanic,asian
428,7819,Female,25 to 34 Years,8,non-hispanic,white
429,7820,Female,18 to 24 Years,5,non-hispanic,white
430,7821,Female,18 to 24 Years,5,non-hispanic,aa
431,7822,Male,25 to 34 Years,3,non-hispanic,white
432,7823,Female,35 to 44 Years,4,non-hispanic,white
433,7824,Female,65 to 74 Years,7,non-hispanic,white
434,7825,Female,17 Years,1,hispanic,
435,7826,Male,35 to 44 Years,8,non-hispanic,white
436,7827,Female,75 Years & Over,6,non-hispanic,white
437,7828,Male,35 to 44 Years,6,non-hispanic,white
438,7829,Male,55 to 64 Years,7,non-hispanic,aa
439,7830,Female,35 to 44 Years,8,hispanic,
440,7831,Female,25 to 34 Years,5,non-hispanic,white
441,7832,Female,25 to 34 Years,8,non-hispanic,white
442,7833,Female,45 to 54 Years,6,non-hispanic,white
443,7834,Male,45 to 54 Years,8,non-hispanic,white
444,7835,Female,35 to 44 Years,8,non-hispanic,white
445,7836,Female,25 to 34 Years,3,non-hispanic,white
446,7837,Male,55 to 64 Years,,non-hispanic,white
447,7838,Female,35 to 44 Years,4,non-hispanic,asian
448,7839,Female,35 to 44 Years,2,non-hispanic,white
449,7840,Female,65 to 74 Years,2,non-hispanic,white
450,7841,Male,35 to 44 Years,4,,
451,7842,Female,65 to 74 Years,3,hispanic,
452,7843,Female,65 to 74 Years,3,hispanic,
453,7844,Female,75 Years & Over,,non-hispanic,aa
454,7845,Female,35 to 44 Years,8,non-hispanic,white
455,7846,Male,25 to 34 Years,6,non-hispanic,white
456,7847,Female,75 Years & Over,,,
457,7848,Female,45 to 54 Years,4,,
458,7849,Female,35 to 44 Years,8,non-hispanic,two_or_more
459,7850,Female,25 to 34 Years,5,non-hispanic,white
460,7851,Female,65 to 74 Years,3,non-hispanic,white
461,7852,Female,35 to 44 Years,7,non-hispanic,aa
462,7853,Female,45 to 54 Years,6,non-hispanic,white
463,7854,Male,25 to 34 Years,3,non-hispanic,white
464,7855,Male,65 to 74 Years,5,non-hispanic,white
465,7856,Male,25 to 34 Years,7,non-hispanic,white
466,7857,Male,45 to 54 Years,8,non-hispanic,white
467,7858,Male,25 to 34 Years,6,non-hispanic,white
468,7859,Male,25 to 34 Years,5,non-hispanic,white
469,7860,Male,75 Years & Over,,non-hispanic,asian
470,7861,Female,25 to 34 Years,5,non-hispanic,white
471,7862,Female,35 to 44 Years,,non-hispanic,white
472,7863,Male,75 Years & Over,1,non-hispanic,aa
473,7864,Female,35 to 44 Years,8,non-hispanic,white
474,7865,Male,55 to 64 Years,8,non-hispanic,white
475,7866,Female,55 to 64 Years,2,non-hispanic,white
476,7867,Female,55 to 64 Years,4,,
477,7868,Female,25 to 34 Years,6,non-hispanic,white
478,7869,Female,55 to 64 Years,7,non-hispanic,white
479,7870,Female,25 to 34 Years,8,non-hispanic,white
