ID Place of Birth,Place of Birth,ID Age,Age,ID Year,Year,Birthplace,Birthplace Moe,Geography,ID Geography,Slug Geography,nativity,share
3,"Foreign Born",1,"5 to 17 Years",2014,"2014",1006,414,"Somerville, MA","16000US2562535","somerville-ma","Foreign Born",0.0129706034038164
3,"Foreign Born",2,"18 to 24 Years",2014,"2014",1473,328,"Somerville, MA","16000US2562535","somerville-ma","Foreign Born",0.018991748323878288
3,"Foreign Born",3,"25 to 34 Years",2014,"2014",5746,586,"Somerville, MA","16000US2562535","somerville-ma","Foreign Born",0.07408457968024755
3,"Foreign Born",4,"35 to 44 Years",2014,"2014",4128,503,"Somerville, MA","16000US2562535","somerville-ma","Foreign Born",0.053223310985043834
3,"Foreign Born",5,"45 to 54 Years",2014,"2014",2381,341,"Somerville, MA","16000US2562535","somerville-ma","Foreign Born",0.030698813821557504
3,"Foreign Born",6,"55 to 59 Years",2014,"2014",993,206,"Somerville, MA","16000US2562535","somerville-ma","Foreign Born",0.01280299123259412
3,"Foreign Born",7,"60 & 61 Years",2014,"2014",274,133,"Somerville, MA","16000US2562535","somerville-ma","Foreign Born",0.0035327488396080455
3,"Foreign Born",8,"62 to 64 Years",2014,"2014",634,196,"Somerville, MA","16000US2562535","somerville-ma","Foreign Born",0.008174316658071171
3,"Foreign Born",9,"65 to 74 Years",2014,"2014",1190,231,"Somerville, MA","16000US2562535","somerville-ma","Foreign Born",0.015342960288808664
3,"Foreign Born",10,"75 Years & Over",2014,"2014",948,207,"Somerville, MA","16000US2562535","somerville-ma","Foreign Born",0.01222279525528623
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",0,"Under 5 Years",6039,"2013",3980,636,"Somerville, MA","16000US2562535","somerville-ma","Native Born",0.05172525830138411
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",3,"5 to 17 Years",6039,"2013",5550,1002,"Somerville, MA","16000US2562535","somerville-ma","Native Born",0.07212944310871401
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",6,"18 to 24 Years",6039,"2013",9774,1403,"Somerville, MA","16000US2562535","somerville-ma","Native Born",0.1270257976476704
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",9,"25 to 34 Years",6039,"2013",17226,1531,"Somerville, MA","16000US2562535","somerville-ma","Native Born",0.22387419585418156
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",12,"35 to 44 Years",6039,"2013",6820,1004,"Somerville, MA","16000US2562535","somerville-ma","Native Born",0.08863473909935668
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",15,"45 to 54 Years",6039,"2013",5351,786,"Somerville, MA","16000US2562535","somerville-ma","Native Born",0.0695431801936448
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",18,"55 to 59 Years",6039,"2013",1969,450,"Somerville, MA","16000US2562535","somerville-ma","Native Born",0.025589706933523946
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",21,"60 & 61 Years",6039,"2013",985,352,"Somerville, MA","16000US2562535","somerville-ma","Native Born",0.012801351614789784
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",24,"62 to 64 Years",6039,"2013",1120,355,"Somerville, MA","16000US2562535","somerville-ma","Native Born",0.014555851582299044
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",27,"65 to 74 Years",6039,"2013",2289,486,"Somerville, MA","16000US2562535","somerville-ma","Native Born",0.029748521671323674
3,"Born In State of Residence,Born In Other State In The United States,Native; Born Outside The United States",30,"75 Years & Over",6039,"2013",2600,474,"Somerville, MA","16000US2562535","somerville-ma","Native Born",0.03379036974462278
3,"Foreign Born",0,"Under 5 Years",2013,"2013",125,95,"Somerville, MA","16000US2562535","somerville-ma","Foreign Born",0.0016245370069530184
3,"Foreign Born",1,"5 to 17 Years",2013,"2013",756,270,"Somerville, MA","16000US2562535","somerville-ma","Foreign Born",0.009825199818051855
3,"Foreign Born",2,"18 to 24 Years",2013,"2013",1690,319,"Somerville, MA","16000US2562535","somerville-ma","Foreign Born",0.02196374033400481
3,"Foreign Born",3,"25 to 34 Years",2013,"2013",6522,713,"Somerville, MA","16000US2562535","somerville-ma","Foreign Born",0.08476184287478068
3,"Foreign Born",4,"35 to 44 Years",2013,"2013",4265,596,"Somerville, MA","16000US2562535","somerville-ma","Foreign Born",0.055429202677236986
3,"Foreign Born",5,"45 to 54 Years",2013,"2013",2153,312,"Somerville, MA","16000US2562535","somerville-ma","Foreign Born",0.027981025407758788
3,"Foreign Born",6,"55 to 59 Years",2013,"2013",867,225,"Somerville, MA","16000US2562535","somerville-ma","Foreign Born",0.011267788680226135
3,"Foreign Born",7,"60 & 61 Years",2013,"2013",328,108,"Somerville, MA","16000US2562535","somerville-ma","Foreign Born",0.00426278510624472
3,"Foreign Born",8,"62 to 64 Years",2013,"2013",440,154,"Somerville, MA","16000US2562535","somerville-ma","Foreign Born",0.005718370264474625
3,"Foreign Born",9,"65 to 74 Years",2013,"2013",1171,263,"Somerville, MA","16000US2562535","somerville-ma","Foreign Born",0.015218662681135876
3,"Foreign Born",10,"75 Years & Over",2013,"2013",964,191,"Somerville, MA","16000US2562535","somerville-ma","Foreign Born",0.012528429397621678
